	Sum	Mean	Max	Min	Sd	Var	Nobs	CV	se	L95se	U95se
Mar-11	662400	21367.74194	32100	11700	5846.673533	34183591.4	31	0.273621497	1050.093566	19309.55855	23425.92532
Apr-11	594400	19813.33333	28200	13000	5037.290824	25374298.85	30	0.254237424	919.6792711	18010.76196	21615.9047
May-11	250390	8077.096774	12800	5550	2552.524494	6515381.29	31	0.316020046	458.4469326	7178.540786	8975.652762
Jun-11	161510	5383.666667	5840	5090	231.6430568	53658.50575	30	0.043027006	42.29204249	5300.774263	5466.55907
Jul-11	200920	6481.290323	8360	5580	1017.476427	1035258.28	31	0.156986707	182.744161	6123.111767	6839.468878
Aug-11	176070	5679.677419	6460	5530	238.7814045	57016.55914	31	0.042041367	42.88640628	5595.620063	5763.734776
Sep-11	172720	5757.333333	7580	5270	755.9416751	571447.8161	30	0.131300661	138.0154359	5486.823079	6027.843588
Oct-11	186120	6003.870968	7930	5660	589.2745677	347244.5161	31	0.098149106	105.8368367	5796.430768	6211.311168
Nov-11	189730	6324.333333	8010	5670	812.6656153	660425.4023	30	0.128498226	148.3717631	6033.524678	6615.141989
Dec-11	189140	6101.290323	6520	5930	131.1422112	17198.27957	31	0.021494177	23.55383646	6055.124803	6147.455842
Jan-12	345990	11160.96774	30800	5740	8399.060406	70544215.7	31	0.752538722	1508.515781	8204.276811	14117.65867
Feb-12	325550	11225.86207	18900	6030	3617.779032	13088325.12	29	0.322271823	671.8047008	9909.124855	12542.59928
Mar-12	506810	16348.70968	28300	9710	5172.377108	26753484.95	31	0.316378308	928.9863527	14527.89643	18169.52293
Apr-12	294150	9805	14500	6790	2363.020787	5583867.241	30	0.24100161	431.4265964	8959.403871	10650.59613
May-12	180020	5807.096774	6590	5590	178.1982706	31754.62366	31	0.030686293	32.00535422	5744.36628	5869.827268
Jun-12	172810	5760.333333	5920	5650	87.23663155	7610.229885	30	0.015144372	15.92715698	5729.116106	5791.550561
Jul-12	182700	5893.548387	6640	5670	260.5321271	67876.98925	31	0.044206327	46.79295137	5801.834202	5985.262572
Aug-12	191070	6163.548387	7080	5710	387.2255879	149943.6559	31	0.062825107	69.54776866	6027.234761	6299.862014
Sep-12	174610	5820.333333	6440	5610	203.4272442	41382.64368	30	0.034951133	37.14056348	5747.537829	5893.128838
Oct-12	172600	5567.741935	5900	5420	121.2080767	14691.39785	31	0.021769701	21.76961322	5525.073494	5610.410377
Nov-12	161780	5392.666667	5440	5360	18.37039097	337.4712644	30	0.00340655	3.353959175	5386.092907	5399.240427
Dec-12	170750	5508.064516	5970	5390	141.0772685	19902.7957	31	0.025612857	25.33822543	5458.401594	5557.727438
Jan-13	264760	8540.645161	11000	5600	1519.754225	2309652.903	31	0.177943726	272.9559165	8005.651565	9075.638758
Feb-13	1181660	42202.14286	114000	8310	31634.83984	1000763092	28	0.749602691	5978.422784	30484.4342	53919.85151
Mar-13	1272000	41032.25806	112000	26900	22310.46671	497756924.7	31	0.543729928	4007.078111	33178.38497	48886.13116
Apr-13	689800	22993.33333	30800	18200	2819.627431	7950298.851	30	0.122628041	514.7911826	21984.34262	24002.32405
May-13	645500	20822.58065	30200	12000	4408.605953	19435806.45	31	0.211722362	791.8090038	19270.635	22374.52629
Jun-13	450000	15000	21200	9900	3365.852866	11328965.52	30	0.224390191	614.5178467	13795.54502	16204.45498
Jul-13	1062400	34270.96774	49900	13500	9876.105628	97537462.37	31	0.288177028	1773.800934	30794.31791	37747.61757
Aug-13	920700	29700	53400	14500	12339.09775	152253333.3	31	0.415457837	2216.167378	25356.31194	34043.68806
Sep-13	471400	15713.33333	30300	10300	4776.93693	22819126.44	30	0.30400532	872.1453708	14003.92841	17422.73826
Oct-13	323410	10432.58065	13200	7620	1692.843698	2865719.785	31	0.162265096	304.0437036	9836.654986	11028.5063
Nov-13	283710	9457	16800	7530	2106.134144	4435801.034	30	0.22270637	384.5257267	8703.329576	10210.67042
Dec-13	768200	24780.64516	56600	12200	13658.31662	186549612.9	31	0.551168726	2453.106082	19972.55724	29588.73308
